"filename", "language", "Python", "Django txt", "Django HTML", "Markdown", "CSS", "JavaScript", "HTTP", "comment", "blank", "total"
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\WebEngineering\settings.py", "Python", 174, 0, 0, 0, 0, 0, 0, 37, 40, 251
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\WebEngineering\urls.py", "Python", 28, 0, 0, 0, 0, 0, 0, 18, 1, 47
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\WebEngineering\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\apiifiles\开发记录.txt", "Django txt", 0, 33, 0, 0, 0, 0, 0, 0, 11, 44
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\manage.py", "Python", 18, 0, 0, 0, 0, 0, 0, 2, 4, 24
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 10, 0, 12
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\css\dashboard.css", "CSS", 0, 0, 0, 0, 80, 0, 0, 6, 19, 105
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\css\index.css", "CSS", 0, 0, 0, 0, 48, 0, 0, 0, 2, 50
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\css\main.css", "CSS", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\css\signin.css", "CSS", 0, 0, 0, 0, 40, 0, 0, 0, 4, 44
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\css\style.css", "CSS", 0, 0, 0, 0, 1023, 0, 0, 8, 28, 1059
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\immutable.min.js", "JavaScript", 0, 0, 0, 0, 0, 28, 0, 6, 0, 34
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\insQ.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 3, 0, 4
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\redoc-init.js", "JavaScript", 0, 0, 0, 0, 0, 54, 0, 3, 11, 68
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\redoc-old\redoc.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 7, 0, 8
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\redoc\redoc.min.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 96, 0, 110
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\style.css", "CSS", 0, 0, 0, 0, 60, 0, 0, 0, 14, 74
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\swagger-ui-dist\absolute-path.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 6, 2, 15
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\swagger-ui-dist\index.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 9, 2, 18
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\swagger-ui-dist\oauth2-redirect.html", "Django HTML", 0, 0, 67, 0, 0, 0, 0, 0, 8, 75
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\swagger-ui-dist\swagger-ui-bundle.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 2, 0, 3
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\swagger-ui-dist\swagger-ui-es-bundle-core.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 2, 0, 3
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\swagger-ui-dist\swagger-ui-es-bundle.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 2, 0, 3
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\swagger-ui-dist\swagger-ui-standalone-preset.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 2, 0, 3
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\swagger-ui-dist\swagger-ui.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 1, 1, 4
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\swagger-ui-init.js", "JavaScript", 0, 0, 0, 0, 0, 295, 0, 50, 41, 386
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\drf-yasg\url-polyfill.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\echarts.min.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 40, 3, 46
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\exporting.js", "JavaScript", 0, 0, 0, 0, 0, 34, 0, 10, 0, 44
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\feather.min.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 11, 0, 13
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\highcharts-zh_CN.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\highcharts.js", "JavaScript", 0, 0, 0, 0, 0, 566, 0, 8, 0, 574
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\index.js", "JavaScript", 0, 0, 0, 0, 0, 482, 0, 70, 24, 576
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\jquery-3.4.1.slim.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\js\echarts.min.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 40, 3, 46
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\js\exporting.js", "JavaScript", 0, 0, 0, 0, 0, 34, 0, 10, 0, 44
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\js\feather.min.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 11, 0, 13
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\js\highcharts-zh_CN.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\js\highcharts.js", "JavaScript", 0, 0, 0, 0, 0, 566, 0, 8, 0, 574
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\js\jquery-3.4.1.slim.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\js\login.js", "JavaScript", 0, 0, 0, 0, 0, 66, 0, 0, 9, 75
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\static\js\login.js", "JavaScript", 0, 0, 0, 0, 0, 66, 0, 0, 9, 75
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\base.html", "Django HTML", 0, 0, 65, 0, 0, 0, 0, 0, 20, 85
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\base_auth.html", "Django HTML", 0, 0, 22, 0, 0, 0, 0, 0, 13, 35
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\error\usernotexist.html", "Django HTML", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\error\wrongattr.html", "Django HTML", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\error\wrongcaptcha.html", "Django HTML", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\error\wrongpassword.html", "Django HTML", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\partials\_sidebar.html", "Django HTML", 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
