"filename", "language", "Python", "Django HTML", "CSS", "JavaScript", "Django txt", "YAML", "comment", "blank", "total"
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\show.html", "Django HTML", 0, 45, 0, 0, 0, 0, 0, 5, 50
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\statistics.html", "Django HTML", 0, 17, 0, 0, 0, 0, 0, 6, 23
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\attendtime.html", "Django HTML", 0, 47, 0, 0, 0, 0, 0, 14, 61
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\cap.html", "Django HTML", 0, 30, 0, 0, 0, 0, 0, 0, 30
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\changepsw.html", "Django HTML", 0, 59, 0, 0, 0, 0, 0, 9, 68
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\changepswsuccess.html", "Django HTML", 0, 18, 0, 0, 0, 0, 0, 0, 18
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\chart.html", "Django HTML", 0, 56, 0, 0, 0, 0, 0, 6, 62
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\index.html", "Django HTML", 0, 16, 0, 0, 0, 0, 0, 8, 24
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\lessoninfo.html", "Django HTML", 0, 27, 0, 0, 0, 0, 0, 10, 37
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\login.html", "Django HTML", 0, 50, 0, 0, 0, 0, 0, 8, 58
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\register.html", "Django HTML", 0, 47, 0, 0, 0, 0, 0, 6, 53
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\show.html", "Django HTML", 0, 45, 0, 0, 0, 0, 0, 5, 50
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\statistics.html", "Django HTML", 0, 17, 0, 0, 0, 0, 0, 6, 23
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\usernotexist.html", "Django HTML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\wrongcaptcha.html", "Django HTML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\wrongpassword.html", "Django HTML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\test.py", "Python", 15, 0, 0, 0, 0, 0, 3, 3, 21
"Total", "-", 8049, 1084, 2277, 1638, 922, 12, 425, 713, 15120
