Date : 2021-03-22 19:28:08
Directory : e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering
Total : 100 files,  18913 codes, 433 comments, 871 blanks, all 20217 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\test.http                             | HTTP        |          8 |          1 |          6 |         15 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\tests.py                              | Python      |          2 |          1 |          2 |          5 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\urls.py                               | Python      |         50 |         12 |          2 |         64 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\views.txt                             | Django txt  |      5,026 |          0 |        131 |      5,157 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\其他.txt                                      | Django txt  |         83 |          0 |         14 |         97 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\WebEngineering\__init__.py                      | Python      |          0 |          0 |          1 |          1 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\WebEngineering\asgi.py                          | Python      |          4 |          8 |          5 |         17 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\WebEngineering\settings.py                      | Python      |        170 |         37 |         40 |        247 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\WebEngineering\urls.py                          | Python      |         28 |         18 |          1 |         47 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\WebEngineering\wsgi.py                          | Python      |          4 |          8 |          5 |         17 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\apiifiles\开发记录.txt                              | Django txt  |         33 |          0 |         11 |         44 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\manage.py                                       | Python      |         18 |          2 |          4 |         24 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\css\bootstrap.min.css                    | CSS         |          2 |         10 |          0 |         12 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\css\dashboard.css                        | CSS         |         80 |          6 |         19 |        105 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\css\index.css                            | CSS         |         48 |          0 |          2 |         50 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\css\main.css                             | CSS         |         13 |          0 |          1 |         14 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\css\signin.css                           | CSS         |         40 |          0 |          4 |         44 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\css\style.css                            | CSS         |      1,023 |          8 |         28 |      1,059 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\js\bootstrap.bundle.min.js               | JavaScript  |          1 |          6 |          1 |          8 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\js\echarts.min.js                        | JavaScript  |          3 |         40 |          3 |         46 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\js\exporting.js                          | JavaScript  |         34 |         10 |          0 |         44 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\js\feather.min.js                        | JavaScript  |          2 |         11 |          0 |         13 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\js\highcharts-zh_CN.js                   | JavaScript  |          1 |          0 |          0 |          1 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\js\highcharts.js                         | JavaScript  |        566 |          8 |          1 |        575 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\js\index.js                              | JavaScript  |        482 |         70 |         24 |        576 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\js\jquery-3.4.1.slim.min.js              | JavaScript  |          1 |          1 |          1 |          3 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\static\js\login.js                              | JavaScript  |         66 |          0 |          9 |         75 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\_sidebar.html                         | Django HTML |         23 |          0 |          1 |         24 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\attendtime.html                       | Django HTML |         47 |          0 |         14 |         61 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\base.html                             | Django HTML |         65 |          0 |         21 |         86 |
