"filename", "language", "Python", "JSON with Comments", "Markdown", "Properties", "Django HTML", "Django txt", "CSS", "compressionTargetFile", "JavaScript", "CSV", "comment", "blank", "total"
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\EquipmentModel\Database_20210808221711.py", "Python", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 119
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\EquipmentModel\Database_20210808222729.py", "Python", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 125
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\EquipmentModel\Database_20210808223232.py", "Python", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 128
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\EquipmentModel\Database_20210808223743.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 129
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\EquipmentModel\Database_20210810102911.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 129
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\EquipmentModel\Database_20210810124702.py", "Python", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 4, 144
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\EquipmentModel\Database_20210810141440.py", "Python", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 4, 144
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210806152915.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210806154816.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210806155652.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210806160312.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210807153936.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210810101856.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210810102930.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210810103432.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210810111922.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 103
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210810113120.py", "Python", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 107
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210810115221.py", "Python", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 107
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210810124915.py", "Python", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 126
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210810125802.py", "Python", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 131
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210810131102.py", "Python", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 134
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\LocationModel\Database_20210810131712.py", "Python", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 134
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\MmxModel\Database_20210806152915.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\MmxModel\Database_20210806155729.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 49
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\MmxModel\Database_20210806160343.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 49
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\MmxModel\Database_20210807154117.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 49
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\MmxModel\Database_20210807161256.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 49
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\MmxModel\Database_20210810131301.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 63
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\MmxModel\Database_20210810132209.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 72
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\MmxModel\Database_20210810132712.py", "Python", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 86
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\MmxModel\Database_20210810134100.py", "Python", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 86
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\MmxModel\Database_20210810141532.py", "Python", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 86
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\CoursePlanModel\Database_20210806152915.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
